pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm)
6.56,23.05,2.49,48.31,0.15,63.23,6.78,212.89,1.11
6.55,23,2.5,47.91,0.15,63.25,6.77,212.12,1.11
6.55,22.93,2.51,47.54,0.15,63.73,6.75,211.74,1.11
6.55,22.86,2.51,47.56,0.15,63.7,6.78,211.42,1.11
6.55,22.78,2.5,47.31,0.15,62.83,6.84,210.91,1.11
6.55,22.69,2.5,47.11,0.15,63.1,6.8,210.33,1.11
6.55,22.62,2.49,47.03,0.15,62.91,6.85,209.62,1.11
6.55,22.55,2.49,46.89,0.15,63.04,6.85,209.05,1.11
6.55,22.48,2.5,46.59,0.15,62.69,6.89,208.28,1.11
6.56,22.41,2.51,46.59,0.15,63,6.87,207.89,1.11
6.55,22.36,2.53,46.35,0.15,62.69,6.86,207.64,1.11
6.56,22.3,2.56,46.22,0.15,62.86,6.87,207,1.11
6.56,22.24,2.59,46,0.15,62.56,6.92,206.68,1.11
6.56,22.18,2.61,46.03,0.15,62.73,6.87,206.42,1.11
6.56,22.14,2.63,45.96,0.15,62.78,6.9,205.84,1.11
6.56,22.1,2.65,45.73,0.15,62.83,6.9,205.46,1.11
6.56,22.05,2.67,45.16,0.15,62.71,6.93,205.14,1.11
6.56,22.02,2.81,44.67,0.15,62.61,6.88,205.39,1.11
6.56,21.98,2.97,44.33,0.15,63.33,6.78,206.16,1.11
6.56,21.94,3.09,43.99,0.15,62.41,6.85,207,1.11
6.57,21.92,3.34,43.93,0.15,62.35,6.77,208.15,1.11
6.58,21.92,3.85,43.97,0.15,63,6.55,209.94,1.11
6.6,21.95,4.5,44.27,0.15,62.59,6.53,211.8,1.1
6.63,22,5.26,44.14,0.15,62.55,6.42,213.73,1.1
6.68,22.12,6.24,44.27,0.15,63.03,6.26,215.78,1.1
6.74,22.31,7.35,44.55,0.15,63.03,6.21,217.44,1.1
6.81,22.51,8.48,44.75,0.15,62.92,6.13,219.24,1.1
6.89,22.68,9.35,45.04,0.15,62.73,6.11,220.58,1.1
6.96,22.83,9.98,45.16,0.15,61.84,6.15,221.8,1.1
7.15,23.2,11.27,45.86,0.14,62.96,6.03,222.44,1.1
7.32,23.57,12,46.33,0.14,61.69,6.16,222.63,1.1
7.42,23.79,12.05,46.31,0.14,61.33,6.21,223.47,1.1
7.46,23.98,11.84,46.04,0.14,60.89,6.27,225.07,1.09
7.49,24.18,11.64,46.23,0.14,60.93,6.24,227.06,1.09
7.53,24.43,11.46,46.33,0.14,61.1,6.25,228.53,1.09
7.53,24.61,11.16,46.63,0.14,60.79,6.25,230.45,1.09
7.54,24.76,10.92,46.94,0.14,61,6.27,230.96,1.09
7.53,24.89,10.68,47.19,0.14,60.71,6.29,231.35,1.09
7.54,24.98,10.41,47.22,0.14,61.26,6.22,230.84,1.09
7.54,25.06,10.17,47.42,0.14,60.83,6.27,229.94,1.09
7.55,25.14,9.99,47.64,0.14,60.73,6.31,228.66,1.09
7.55,25.26,9.84,47.83,0.14,61.79,6.2,227.63,1.09
7.55,25.31,9.64,47.96,0.14,61.46,6.24,226.67,1.09
7.55,25.36,9.47,48.24,0.14,61.28,6.27,225.71,1.09
7.56,25.43,9.37,48.49,0.14,61.31,6.28,224.3,1.09
7.57,25.52,9.26,48.98,0.14,61.37,6.3,223.34,1.09
7.57,25.58,9.17,49.17,0.14,61.54,6.27,222.95,1.09
7.56,25.61,9.01,49.61,0.14,61.15,6.32,222.44,1.09
7.52,25.55,8.76,49.85,0.14,61.63,6.26,222.18,1.09
7.49,25.5,8.58,50.49,0.14,61.79,6.22,221.54,1.09
7.52,25.5,8.59,50.35,0.14,62.09,6.23,219.81,1.09
7.55,25.58,8.68,50.62,0.14,62.31,6.22,218.66,1.09
7.55,25.6,8.62,50.69,0.14,62.03,6.23,218.47,1.09
7.55,25.62,8.57,50.86,0.14,62.09,6.25,217.89,1.09
7.48,25.56,8.31,51.43,0.14,61.96,6.22,217.89,1.09
7.33,25.34,7.63,51.68,0.15,61.14,6,223.15,1.06
7.21,24.95,7.07,49.6,0.15,56.03,5.9,230.07,1.02
7.11,24.74,6.65,48.47,0.15,55.11,5.73,230.9,1
7.03,24.62,6.27,48.02,0.15,55.11,5.71,228.72,0.99
6.97,24.51,5.96,47.83,0.15,54.16,5.71,226.86,0.99
6.91,24.39,5.7,47.5,0.15,54.29,5.65,225.9,0.98
6.87,24.29,5.51,47.29,0.15,54.07,5.62,225.58,0.98
6.83,24.2,5.36,47.14,0.15,54.01,5.6,225.9,0.98
6.79,24.12,5.18,46.97,0.15,54.37,5.54,225.13,0.98
6.76,24.02,4.99,47.07,0.15,54.02,5.54,224.62,0.97
6.72,23.93,4.82,46.56,0.15,53.66,5.57,224.17,0.97
6.69,23.84,4.61,46.66,0.15,53.45,5.58,223.59,0.97
6.66,23.74,4.38,46.53,0.15,53.25,5.62,222.95,0.97
6.63,23.66,4.19,46.66,0.15,53.46,5.59,223.98,0.97
6.6,23.55,4.04,46.48,0.15,53.62,5.54,226.99,0.97
6.57,23.42,3.91,46.79,0.15,53.46,5.54,229.81,0.97
6.54,23.3,3.82,46.6,0.15,53.48,5.51,232.5,0.97
6.52,23.2,3.75,46.48,0.15,53.26,5.5,235.07,0.97
6.49,23.12,3.69,46.6,0.15,53.47,5.47,237.89,0.97
6.46,23.05,3.65,46.48,0.15,53.72,5.41,240.26,0.97
6.44,22.98,3.62,46.39,0.16,53.56,5.37,242.76,0.97
6.42,22.91,3.6,46.26,0.16,53.4,5.36,245.26,0.97
6.4,22.84,3.57,46.36,0.16,54.07,5.27,247.43,0.97
6.38,22.76,3.56,46.31,0.16,53.47,5.28,249.74,0.97
6.35,22.67,3.55,46.26,0.16,53.95,5.21,251.73,0.97
6.33,22.57,3.56,46.21,0.16,53.74,5.18,253.52,0.97
6.31,22.49,3.55,46.22,0.16,53.96,5.14,255.32,0.97
6.29,22.42,3.56,45.85,0.16,53.81,5.12,257.37,0.97
6.28,22.34,3.57,46.27,0.16,53.62,5.11,259.29,0.97
6.26,22.27,3.58,46.27,0.16,53.99,5.04,260.83,0.97
6.24,22.18,3.6,46,0.16,54.36,4.98,262.24,0.97
6.22,22.09,3.62,46.06,0.16,54.02,5,263.65,0.97
6.2,22.01,3.64,46.03,0.16,53.96,4.96,264.99,0.97
6.18,21.94,3.66,45.89,0.16,54.49,4.87,266.4,0.97
6.17,21.88,3.69,45.85,0.16,54.23,4.87,267.75,0.97
6.15,21.82,3.7,45.53,0.16,54.51,4.84,269.1,0.97
6.13,21.77,3.72,45.67,0.16,54.8,4.77,270.18,0.97
6.11,21.71,3.74,45.67,0.16,54.25,4.8,271.4,0.97
6.09,21.66,3.76,45.52,0.16,54.26,4.76,272.36,0.97
6.08,21.61,3.78,45.2,0.16,54.29,4.75,272.81,0.97
6.09,21.55,3.78,45.52,0.16,54.44,4.75,265.38,0.97
6.1,21.5,3.76,45.18,0.15,54.45,4.77,259.42,0.97
6.11,21.43,3.75,44.97,0.16,54.99,4.75,254.36,0.97
6.12,21.36,3.73,44.9,0.15,54.13,4.83,250.45,0.97
6.13,21.3,3.71,44.68,0.16,54.13,4.87,246.99,0.97
6.14,21.24,3.7,44.53,0.16,54.42,4.85,244.23,0.97
6.15,21.19,3.69,44.48,0.15,54.3,4.88,241.67,0.97
6.16,21.15,3.67,44.61,0.15,54.48,4.9,239.81,0.97
6.17,21.11,3.66,44.31,0.15,53.83,4.98,238.01,0.97
6.17,21.07,3.65,44.05,0.15,54.16,4.96,236.03,0.97
6.18,21.02,3.64,44.04,0.15,54.47,4.97,234.36,0.97
6.19,20.97,3.63,44.15,0.15,54.34,5,232.89,0.97
6.2,20.9,3.62,44.07,0.15,53.91,5.03,231.61,0.97
6.21,20.84,3.62,43.89,0.15,53.92,5.08,230.26,0.97
6.22,20.79,3.62,43.69,0.15,53.94,5.11,228.91,0.97
6.22,20.75,3.61,43.79,0.15,53.99,5.13,227.57,0.97
6.23,20.73,3.62,43.32,0.15,53.65,5.18,226.54,0.97
6.24,20.7,3.67,42.66,0.15,54.01,5.32,225.71,0.97
6.25,20.69,3.85,42.3,0.15,53.7,5.17,225.13,0.97
6.27,20.68,4.1,42.3,0.15,53.82,5.16,224.88,0.97
6.29,20.7,4.48,42.23,0.15,53.59,5.14,224.94,0.97
6.31,20.74,4.94,42.24,0.15,53.82,5.1,224.81,0.97
6.36,20.86,5.83,42.34,0.15,54.22,5.04,224.75,0.97
6.4,20.97,6.6,42.52,0.15,53.92,5.05,224.36,0.97
6.45,21.05,7.19,42.52,0.15,53.98,5.02,223.72,0.97
6.52,21.2,7.97,42.68,0.15,53.77,5.04,222.89,0.97
6.59,21.36,8.72,42.85,0.15,53.86,5.02,221.86,0.97
6.63,21.47,9.13,43,0.15,53.69,5.02,220.77,0.97
6.74,21.63,9.77,43.02,0.15,53.36,5.06,219.17,0.97
6.87,21.83,10.53,43.4,0.15,53.41,5.09,216.61,0.97
7.01,22.11,10.99,43.89,0.14,52.67,5.21,213.47,0.97
7.08,22.51,11.09,43.7,0.14,52.48,5.28,212.12,0.97
7.12,22.94,11,43.62,0.14,52.24,5.34,212.38,0.97
7.15,23.43,10.87,43.67,0.14,51.85,5.43,212.76,0.97
7.19,23.93,10.74,43.92,0.14,52.44,5.43,212.76,0.97
7.21,24.5,10.6,44.63,0.14,52.23,5.5,212.32,0.96
7.23,25.1,10.48,44.6,0.14,52.38,5.56,210.65,0.96
7.25,25.72,10.34,45.05,0.14,52.4,5.6,210.91,0.96
7.27,26.34,10.2,45.14,0.14,52.43,5.68,211.23,0.96
7.29,26.94,10.07,45.11,0.14,52.32,5.72,211.42,0.96
7.33,27.56,9.93,45.66,0.14,51.94,5.82,211.23,0.96
7.33,27.9,9.76,45.85,0.14,51.92,5.86,211.29,0.96
7.35,28.28,9.65,45.91,0.14,52.08,6,210.91,0.96
7.35,28.73,9.54,46.1,0.14,52.67,5.83,210.97,0.96
7.35,28.96,9.4,46.2,0.14,52.27,5.92,211.16,0.96
7.32,28.91,9.13,46.47,0.14,52.31,5.88,210.97,0.96
7.35,28.96,9.1,46.85,0.14,52.53,5.9,208.85,0.96
7.36,29.09,9.03,46.76,0.14,53.08,5.82,208.34,0.96
7.41,29.44,9.03,46.8,0.14,53.56,5.83,207.38,0.96
7.41,29.66,8.9,47.11,0.14,53.15,5.88,207.32,0.96
7.42,29.81,8.82,47.08,0.14,53.2,5.92,206.93,0.96
7.4,29.75,8.64,47.67,0.14,53.2,5.9,206.61,0.96
7.41,29.69,8.56,47.78,0.14,53.07,6.05,205.33,0.96
7.41,29.55,8.44,47.98,0.14,53.7,5.86,204.69,0.96
7.32,29.26,7.97,48.48,0.14,53.33,5.95,205.65,0.96
6.72,24.76,6.19,29.17,0.16,41.19,3.63,263.33,0.72
6.77,24.68,5.89,28.14,0.16,40.29,3.72,262.56,0.72
6.84,24.57,6.47,27.27,0.16,41.07,3.58,258.46,0.72
6.88,24.46,6.52,27.58,0.16,40.57,3.64,258.14,0.72
6.79,24.35,6.29,27.97,0.16,40.8,3.55,261.98,0.72
6.75,24.28,6.28,27.99,0.16,40.96,3.54,265.7,0.72
6.74,24.2,6.46,28.09,0.16,40.62,3.53,267.3,0.72
6.68,24.12,6.04,28.28,0.16,41.2,3.5,268.01,0.72
6.63,24.03,6,28.23,0.17,40.75,3.5,268.84,0.72
6.57,23.93,5.28,28.47,0.16,40.55,3.52,265.57,0.72
6.6,23.84,5.34,28.66,0.16,40.2,3.58,266.92,0.72
6.53,23.75,5.31,28.42,0.17,39.75,3.62,271.59,0.72
6.48,23.7,5.03,28.04,0.17,39.55,3.7,272.49,0.72
6.46,23.62,4.79,27.94,0.17,40.1,3.69,272.43,0.72
6.42,23.54,4.47,27.99,0.17,40.2,3.69,273.52,0.72
6.38,23.5,3.97,27.79,0.17,40.22,3.72,273.39,0.72
6.35,23.44,4.52,28.15,0.17,40.21,3.69,273.65,0.72
6.35,23.37,4.27,28.05,0.17,39.99,3.73,272.75,0.72
6.32,23.3,3.79,27.98,0.17,40.29,3.82,272.94,0.72
6.32,23.23,3.87,27.89,0.17,40.16,3.74,271.92,0.72
6.32,23.17,3.76,28.06,0.17,39.95,3.91,271.72,0.72
6.29,23.09,3.72,27.76,0.17,39.34,3.91,270.89,0.72
6.28,23.05,3.64,27.59,0.17,39.45,3.95,271.34,0.72
6.28,22.99,3.46,27.5,0.17,39.76,3.97,270.76,0.72
6.26,22.93,3.52,27.43,0.17,39.56,3.97,270.51,0.72
6.26,22.89,3.18,27.09,0.17,39.78,4.1,269.54,0.72
6.24,22.84,2.86,26.96,0.17,39.19,4.13,269.03,0.72
6.23,22.79,2.96,26.7,0.17,38.61,4.25,267.88,0.72
6.26,22.74,2.63,26.66,0.17,39.03,4.07,267.43,0.72
6.23,22.7,2.53,26.61,0.17,39.46,4.05,265.06,0.72
6.22,22.66,2.58,26.4,0.17,38.98,4.25,262.49,0.72
6.24,22.63,2.41,26.17,0.17,38.93,4.17,261.47,0.72
6.21,22.59,2.29,26.03,0.17,38.97,4.22,261.15,0.72
6.23,22.56,2.68,25.91,0.17,38.91,4.17,259.03,0.72
6.23,22.53,2.14,25.75,0.17,39.06,4.17,256.15,0.72
6.22,22.49,2.11,25.81,0.17,38.89,4.22,252.95,0.72
6.23,22.46,2.11,25.65,0.17,38.93,4.34,248.01,0.72
6.25,22.4,1.43,25.72,0.17,38.93,4.26,247.56,0.72
6.25,22.34,1.82,25.43,0.17,38.92,4.25,244.04,0.72
6.25,22.29,1.71,25.26,0.17,38.76,4.33,240.58,0.72
6.28,22.25,1.65,25.21,0.17,39.07,4.26,240.32,0.72
6.27,22.19,1.32,25.21,0.17,38.87,4.28,240.96,0.72
6.3,22.13,1.52,25.12,0.17,38.57,4.45,235.26,0.72
6.3,22.07,1.47,25.01,0.17,38.36,4.42,230.58,0.72
6.3,22.01,1.08,25.22,0.17,38.94,4.38,230.77,0.72
6.3,21.94,1,24.84,0.17,38.73,4.28,227.12,0.72
6.3,21.88,1.1,24.53,0.17,38.83,4.31,225.52,0.72
6.3,21.83,1.12,24.54,0.17,38.35,4.37,223.98,0.72
6.3,21.78,1.27,24.29,0.17,38.55,4.39,223.98,0.72
6.3,21.72,1.2,24.24,0.17,38.95,4.3,224.49,0.72
6.3,21.66,1.16,24.61,0.17,38.86,4.33,221.67,0.72
6.31,21.61,1.05,25.08,0.17,38.67,4.42,222.63,0.72
6.32,21.56,1.2,23.92,0.17,38.48,4.44,221.03,0.72
6.32,21.5,0.91,23.47,0.17,38.58,4.39,219.56,0.72
6.3,21.46,0.9,23.11,0.17,38.71,4.41,218.28,0.72
6.32,21.43,0.68,22.68,0.17,37.58,4.49,221.22,0.72
6.28,21.41,1.24,22.51,0.17,38.33,4.33,226.99,0.72
6.23,21.4,1.82,22.37,0.17,38.41,4.26,234.55,0.72
6.19,21.4,2.08,22.41,0.17,37.64,4.4,240.71,0.72
6.19,21.41,1.72,22.54,0.17,37.64,4.43,243.78,0.72
6.56,21.47,5.35,33.72,0.17,33.96,4.33,233.27,0.72
6.7,21.61,6.65,35.79,0.17,35.06,4,227.18,0.72
6.86,21.8,7.7,36.08,0.17,34.9,4.02,220.9,0.72
7.07,22.04,8.69,36.6,0.16,35.1,4.04,212.89,0.72
7.18,22.17,9.04,36.71,0.16,34.76,4.09,206.04,0.72
7.25,22.35,9.25,36.49,0.16,34.6,4.15,201.55,0.72
7.31,22.61,9.38,36.83,0.16,34.73,4.19,199.24,0.72
7.35,22.75,9.43,36.87,0.16,34.42,4.27,198.22,0.72
7.38,22.8,9.41,37.6,0.16,34.23,4.31,196.81,0.72
7.41,22.84,9.43,37.78,0.15,34.38,4.32,195.33,0.72
7.47,22.92,9.49,37.9,0.15,34.68,4.31,193.67,0.72
7.54,23.13,9.56,38.31,0.15,34.55,4.39,193.35,0.72
7.6,23.55,9.63,38.34,0.15,34.75,4.4,192.96,0.72
7.65,24.16,9.66,38.48,0.15,34.46,4.53,191.68,0.72
7.71,24.79,9.68,38.42,0.15,34.54,4.72,193.28,0.72
7.76,25.4,9.68,38.74,0.15,34.49,4.66,194.24,0.72
7.8,25.94,9.64,38.99,0.15,34.28,4.74,195.01,0.72
7.84,26.47,9.6,39.28,0.15,34.2,4.8,195.14,0.72
7.88,26.99,9.58,39.19,0.15,34.38,4.79,194.88,0.72
7.91,27.47,9.52,39.47,0.15,34.41,4.85,194.56,0.72
7.94,27.91,9.48,39.65,0.15,34.29,4.9,193.47,0.72
7.96,28.3,9.43,40.03,0.15,34.71,4.99,192.39,0.72
7.98,28.64,9.36,40.14,0.15,34.45,4.95,191.36,0.72
8.01,28.92,9.31,40.16,0.15,34.52,4.96,190.14,0.72
8.03,29.15,9.23,40.53,0.15,34.09,5.05,187.58,0.72
8.04,29.27,9.14,40.68,0.15,34.53,4.98,185.14,0.72
8.01,29.07,8.92,40.7,0.15,34.85,4.96,184.44,0.72
8.04,28.95,8.9,41.04,0.15,34.83,4.95,181.88,0.72
8.08,29.11,8.91,40.93,0.15,35.51,4.95,178.61,0.72
8.1,29.19,8.87,41.26,0.15,35.64,4.94,177.58,0.72
8.11,29.19,8.8,41.54,0.15,35.47,4.98,175.79,0.72
8.08,29.05,8.61,41.31,0.15,35.6,4.95,175.4,0.72
8.11,28.92,8.58,41.62,0.15,35.76,4.97,173.74,0.73
8.12,28.8,8.53,41.77,0.16,35.94,4.94,171.75,0.73
8.12,28.63,8.44,42.16,0.15,35.58,5,170.6,0.73
8.12,28.42,8.31,42.15,0.15,36.06,4.9,173.1,0.73
8.1,28.19,8.15,42.08,0.15,36.07,4.85,177.07,0.73
8.06,27.96,7.97,42.15,0.15,36.34,4.78,181.88,0.73
8.01,27.73,7.77,42.29,0.15,36.61,4.78,187.19,0.73
7.94,27.49,7.53,42.6,0.15,36.51,4.65,192.26,0.73
7.85,27.22,7.31,42.84,0.16,37.38,4.51,198.09,0.73
7.75,26.94,7.05,43.26,0.16,36.55,4.54,204.18,0.73
7.64,26.66,6.83,43.44,0.16,36.67,4.49,209.69,0.73
7.52,26.41,6.55,43.38,0.16,37.37,4.37,214.62,0.73
7.41,26.17,6.24,43.95,0.16,37.28,4.32,218.79,0.73
7.3,25.94,5.96,43.68,0.16,37.66,4.22,222.31,0.73
7.21,25.73,5.71,43.66,0.16,37.31,4.21,225.26,0.73
7.13,25.53,5.48,43.52,0.16,37.64,4.13,227.18,0.73
7.06,25.33,5.29,43.73,0.16,37.61,4.14,229.49,0.73
6.99,25.16,5.13,43.49,0.16,37.81,4.05,231.54,0.73
6.93,25.02,5.09,43.62,0.16,37.76,4.05,233.14,0.73
6.88,24.88,4.87,43.76,0.16,37.63,4.02,234.81,0.73
6.82,24.76,4.76,43.8,0.16,38,3.96,236.22,0.73
6.78,24.63,4.69,43.76,0.16,37.6,3.98,237.69,0.73
6.73,24.52,4.63,43.65,0.16,37.61,3.96,238.91,0.73
6.69,24.42,4.57,43.83,0.16,37.93,3.89,240.32,0.73
6.65,24.35,4.54,43.79,0.16,37.91,3.86,241.22,0.73
6.62,24.27,4.5,43.89,0.16,37.78,3.86,242.37,0.73
6.59,24.19,4.5,43.78,0.16,37.64,3.84,243.46,0.73
6.55,24.11,4.49,44.15,0.16,37.41,3.83,244.55,0.73
6.52,24.02,4.48,43.98,0.16,37.45,3.82,245.64,0.73
6.49,23.93,4.47,44.06,0.16,37.49,3.79,246.92,0.73
6.46,23.83,4.45,44.21,0.16,37.91,3.72,248.01,0.73
6.43,23.75,4.44,44.04,0.16,37.97,3.69,249.1,0.73
6.41,23.67,4.43,43.99,0.17,38.23,3.65,250.13,0.73
6.38,23.59,4.42,43.9,0.16,37.99,3.64,250.96,0.73
6.36,23.5,4.42,44.05,0.16,37.94,3.6,252.18,0.73
6.33,23.42,4.41,43.89,0.16,38.09,3.59,252.95,0.73
6.31,23.34,4.41,44.1,0.16,37.78,3.6,253.71,0.73
6.29,23.27,4.41,44.2,0.16,37.55,3.59,254.48,0.73
6.27,23.2,4.42,43.89,0.16,37.73,3.56,255.45,0.73
6.25,23.14,4.42,43.78,0.16,37.73,3.53,256.34,0.73
6.23,23.07,4.44,44.08,0.16,38,3.48,257.11,0.73
6.21,22.98,4.46,43.85,0.16,38.04,3.45,258.07,0.73
6.19,22.9,4.49,43.74,0.16,37.62,3.46,259.03,0.73
6.17,22.84,4.51,43.55,0.16,37.71,3.43,259.93,0.73
6.15,22.78,4.53,43.83,0.16,38,3.37,260.83,0.73
6.13,22.72,4.56,43.55,0.16,38.09,3.35,261.92,0.73
6.11,22.64,4.58,43.35,0.16,37.86,3.35,262.62,0.73
6.09,22.55,4.6,43.19,0.17,38.01,3.31,263.65,0.73
6.07,22.45,4.62,43.31,0.16,37.94,3.3,264.67,0.73
6.06,22.35,4.64,43.28,0.16,37.86,3.27,265.38,0.73
6.04,22.27,4.67,43.19,0.16,37.73,3.27,266.28,0.73
6.03,22.17,4.7,43.19,0.16,37.85,3.24,267.11,0.73
6,22.06,4.73,43.22,0.17,38.06,3.21,267.88,0.73
5.99,21.95,4.76,42.84,0.16,38.17,3.17,268.77,0.73
5.98,21.83,4.8,43.1,0.16,38.26,3.16,269.67,0.73
5.96,21.72,4.84,42.76,0.16,38.36,3.13,270.51,0.74
5.94,21.6,4.88,42.26,0.16,37.87,3.25,271.34,0.74
5.93,21.5,4.98,41.74,0.16,37.89,3.14,272.04,0.74
5.92,21.41,5.23,41.58,0.16,38.04,3.09,272.43,0.74
5.91,21.3,5.48,41.55,0.16,38.06,3.06,273.13,0.74
5.91,21.2,5.82,41.23,0.16,38.58,3,273.45,0.74
5.92,21.15,6.36,41.49,0.16,38.48,2.98,273.58,0.73
5.96,21.15,7.19,41.66,0.16,38.69,2.95,272.56,0.73
6.02,21.18,7.91,41.41,0.16,38.53,2.95,269.86,0.73
6.12,21.23,8.39,41.54,0.15,37.93,3.01,264.03,0.73
6.22,21.26,8.57,41.36,0.15,38.08,3.01,250.57,0.73
6.31,21.24,8.72,41.49,0.16,38.34,3.01,239.87,0.73
6.42,21.24,8.92,41.99,0.15,38.25,3.07,229.75,0.73
6.54,21.3,9.13,41.68,0.15,38.14,3.14,220.97,0.74
6.63,21.37,9.29,42.09,0.15,37.87,3.22,214.94,0.74
6.71,21.53,9.43,42.13,0.15,38.24,3.25,210.59,0.74
6.79,21.76,9.54,42.43,0.15,37.84,3.42,207.19,0.74
6.85,21.89,9.62,43,0.15,38.06,3.39,203.73,0.74
6.91,22.14,9.72,43.02,0.15,38.29,3.43,200.4,0.74
6.97,22.56,9.78,43.27,0.15,37.82,3.67,199.18,0.74
7.01,22.74,9.78,43.19,0.15,37.26,3.71,198.34,0.74
7.07,22.89,9.81,43.32,0.15,37.22,3.73,195.33,0.74
7.13,23.24,9.87,43.38,0.15,37.39,3.8,193.09,0.74
7.17,23.57,9.86,43.43,0.15,37,3.89,193.15,0.74
7.21,23.71,9.86,43.55,0.15,36.84,3.97,191.17,0.74
7.26,23.85,9.85,43.77,0.15,36.9,4.02,189.31,0.74
7.29,23.83,9.79,44.03,0.15,37.33,4.01,187.13,0.74
7.33,23.76,9.74,43.65,0.15,36.94,4.09,184.57,0.74
7.37,23.73,9.72,43.97,0.15,36.8,4.15,182.58,0.74
7.4,23.69,9.68,44.21,0.15,37.01,4.17,181.11,0.74
7.45,23.62,9.66,44.22,0.15,36.9,4.23,179.38,0.74
7.5,23.57,9.66,43.86,0.14,37.49,4.23,177.97,0.74
7.57,23.62,9.7,44.27,0.14,37.27,4.28,176.04,0.74
7.64,23.67,9.68,44.29,0.14,37.26,4.31,175.85,0.74
7.67,23.69,9.67,44.22,0.15,37.48,4.31,174.95,0.74
7.7,23.66,9.61,44.53,0.14,37.82,4.31,173.99,0.74
7.77,23.87,9.67,44.62,0.14,37.77,4.34,172.33,0.74
7.73,23.82,9.44,45.16,0.15,37.22,4.41,172.97,0.74
7.69,23.67,9.19,45.47,0.15,37.07,4.46,173.03,0.75
7.64,23.52,8.96,45.82,0.15,37.4,4.41,172.33,0.75
7.55,23.38,8.57,46.31,0.15,37.46,4.54,173.54,0.75
7.47,23.18,8.21,45.85,0.15,37.03,4.34,177.71,0.74
7.41,23.04,7.97,45.91,0.15,36.99,4.48,177.2,0.74
7.34,22.89,7.65,45.29,0.15,36.93,4.35,176.36,0.74
7.28,22.74,7.35,45.62,0.15,36.6,4.37,177.2,0.73
7.21,22.61,7.07,45.79,0.15,37.33,4.23,180.21,0.73
7.15,22.48,6.84,45.8,0.15,36.74,4.25,183.48,0.73
7.1,22.26,6.72,45.43,0.16,35.38,4.07,188.67,0.7
7.05,21.84,6.96,41.45,0.16,30.19,3.83,199.88,0.64
7,21.66,6.87,40.08,0.16,29.64,3.74,202.64,0.62
6.96,21.55,6.75,39.6,0.17,29.41,3.67,204.5,0.62
6.93,21.46,6.63,39.74,0.17,29.44,3.63,206.93,0.62
6.89,21.4,6.5,39.49,0.17,29.66,3.57,208.73,0.62
6.85,21.34,6.37,39.34,0.17,29.28,3.61,210.07,0.62
6.82,21.28,6.26,39.78,0.17,29.27,3.58,211.61,0.62
6.79,21.22,6.16,39.61,0.17,29.27,3.56,213.53,0.62
6.76,21.15,6.07,39.7,0.17,29.41,3.53,215.65,0.62
6.73,21.09,6,39.63,0.17,29.55,3.48,217.57,0.62
6.7,21.01,5.93,39.8,0.17,29.52,3.48,219.49,0.62
6.68,20.93,5.88,39.87,0.17,29.33,3.47,221.35,0.62
6.65,20.84,5.83,39.91,0.17,29.37,3.45,223.27,0.62
6.63,20.75,5.79,39.99,0.17,29.48,3.42,225.13,0.62
6.61,20.65,5.76,40.13,0.17,29.57,3.39,226.8,0.62
6.58,20.54,5.73,39.97,0.17,29.5,3.37,228.47,0.62
6.56,20.43,5.71,39.99,0.17,29.43,3.36,230.07,0.62
6.54,20.32,5.7,39.78,0.17,29.89,3.28,231.54,0.62
6.52,20.21,5.69,40,0.17,29.51,3.31,233.02,0.62
6.51,20.11,5.68,40.11,0.17,29.3,3.32,234.55,0.62
6.48,20.02,5.68,40.39,0.17,29.72,3.25,235.9,0.62
6.47,19.97,5.67,40,0.17,29.34,3.28,237.37,0.62
6.45,19.93,5.68,40.04,0.17,29.36,3.26,238.59,0.62
6.44,19.89,5.69,39.76,0.17,29.7,3.23,239.68,0.62
6.41,19.87,5.69,40.12,0.17,30.29,3.13,240.9,0.62
6.4,19.86,5.71,40.21,0.17,29.34,3.24,242.05,0.62
6.38,19.84,5.74,40.25,0.17,29.7,3.18,243.2,0.62
6.37,19.82,5.76,40.16,0.17,29.44,3.2,244.74,0.62
6.35,19.79,5.78,39.82,0.17,29.94,3.14,246.15,0.62
6.34,19.74,5.79,40.16,0.17,29.49,3.15,247.37,0.62
6.32,19.68,5.81,40.19,0.17,29.41,3.16,248.46,0.62
6.31,19.62,5.83,40.22,0.17,29.64,3.11,249.74,0.62
6.29,19.57,5.84,40.1,0.17,29.56,3.11,250.89,0.62
6.27,19.51,5.86,40,0.17,29.8,3.06,252.05,0.62
6.26,19.45,5.87,39.9,0.17,29.41,3.08,253.07,0.62
6.24,19.39,5.88,39.8,0.17,29.64,3.03,254.36,0.62
6.23,19.33,5.9,39.8,0.17,29.79,3.04,255.25,0.62
6.21,19.28,5.9,39.94,0.17,29.32,3.05,256.15,0.62
6.2,19.22,5.92,39.93,0.17,29.86,3,257.11,0.62
6.18,19.16,5.94,39.84,0.18,29.55,3.01,258.14,0.62
6.17,19.11,5.95,39.77,0.17,29.47,3.01,259.03,0.62
6.15,19.05,5.98,39.87,0.18,29.4,3.01,259.74,0.62
6.14,19,6.01,39.82,0.17,29.56,2.98,260.64,0.62
